 221 (0, 1, 2, 3, 4, 5, 7, 9)
 211 (0, 1, 2, 5, 6, 12, 13, 14)
 211 (0, 1, 2, 9, 10, 12, 13, 14)
 211 (0, 3, 4, 5, 7, 8, 9, 11)
 211 (0, 3, 4, 6, 7, 8, 10, 11)
 211 (1, 2, 3, 5, 6, 13, 14, 15)
 211 (1, 2, 3, 9, 10, 13, 14, 15)
 211 (4, 5, 7, 8, 9, 11, 12, 15)
 211 (4, 6, 7, 8, 10, 11, 12, 15)
 216 (0, 1, 2, 4, 5, 10, 12, 14)
 216 (0, 1, 2, 4, 6, 9, 12, 13)
 216 (0, 1, 2, 5, 8, 10, 12, 13)
 216 (0, 1, 2, 6, 8, 9, 12, 14)
 216 (0, 1, 3, 4, 5, 8, 10, 11)
 216 (0, 1, 3, 4, 6, 7, 8, 9)
 216 (0, 1, 3, 4, 6, 7, 9, 11)
 216 (0, 1, 3, 5, 7, 8, 10, 11)
 216 (0, 1, 4, 5, 6, 13, 14, 15)
 216 (0, 1, 4, 5, 7, 9, 11, 15)
 216 (0, 1, 4, 6, 9, 12, 13, 14)
 216 (0, 1, 5, 7, 8, 9, 11, 15)
 216 (0, 1, 5, 8, 10, 12, 13, 14)
 216 (0, 2, 3, 4, 5, 7, 10, 11)
 216 (0, 2, 3, 4, 5, 7, 8, 10)
 216 (0, 2, 3, 4, 6, 8, 9, 11)
 216 (0, 2, 3, 6, 7, 8, 9, 11)
 216 (0, 2, 4, 5, 10, 12, 13, 14)
 216 (0, 2, 4, 5, 6, 13, 14, 15)
 216 (0, 2, 4, 6, 7, 10, 11, 15)
 216 (0, 2, 6, 7, 8, 10, 11, 15)
 216 (0, 2, 6, 8, 9, 12, 13, 14)
 216 (0, 4, 5, 7, 8, 9, 13, 15)
 216 (0, 4, 5, 8, 9, 11, 13, 15)
 216 (1, 2, 3, 4, 5, 6, 12, 13)
 216 (1, 2, 3, 4, 5, 6, 12, 14)
 216 (1, 2, 3, 5, 7, 10, 14, 15)
 216 (1, 2, 3, 6, 7, 9, 13, 15)
 216 (1, 2, 3, 8, 9, 10, 12, 13)
 216 (1, 2, 3, 8, 9, 10, 12, 14)
 216 (1, 3, 4, 5, 7, 8, 9, 12)
 216 (1, 3, 4, 5, 8, 9, 11, 12)
 216 (1, 3, 5, 6, 7, 12, 13, 14)
 216 (2, 3, 4, 6, 7, 8, 10, 12)
 216 (2, 3, 4, 6, 8, 10, 11, 12)
 216 (2, 3, 5, 6, 7, 12, 13, 14)
 216 (3, 4, 5, 7, 9, 11, 12, 13)
 216 (3, 5, 7, 8, 9, 11, 12, 13)
 216 (4, 5, 7, 8, 10, 12, 14, 15)
 216 (4, 5, 8, 10, 11, 12, 13, 15)
 216 (4, 6, 7, 8, 9, 12, 13, 15)
 216 (4, 6, 8, 9, 11, 12, 14, 15)
 218 (0, 1, 2, 3, 4, 5, 8, 11)
 218 (0, 1, 2, 3, 4, 6, 8, 11)
 218 (0, 1, 2, 3, 4, 7, 10, 11)
 218 (0, 1, 2, 3, 4, 7, 8, 10)
 218 (0, 1, 2, 3, 4, 7, 8, 9)
 218 (0, 1, 2, 3, 4, 7, 9, 11)
 218 (0, 1, 2, 3, 5, 7, 8, 11)
 218 (0, 1, 2, 3, 6, 7, 8, 11)
 218 (0, 1, 2, 4, 5, 8, 12, 14)
 218 (0, 1, 2, 4, 6, 8, 12, 13)
 218 (0, 1, 2, 4, 8, 10, 12, 13)
 218 (0, 1, 2, 4, 8, 9, 12, 14)
 218 (0, 1, 4, 8, 10, 12, 13, 14)
 218 (0, 2, 4, 8, 9, 12, 13, 14)
 218 (1, 2, 3, 5, 7, 11, 14, 15)
 218 (1, 2, 3, 6, 7, 11, 13, 15)
 218 (1, 2, 4, 5, 6, 7, 12, 13)
 218 (1, 2, 4, 5, 6, 7, 12, 14)
 218 (1, 2, 4, 5, 6, 7, 13, 15)
 218 (1, 2, 4, 5, 6, 7, 14, 15)
 218 (1, 2, 8, 9, 10, 11, 12, 13)
 218 (1, 2, 8, 9, 10, 11, 12, 14)
 218 (1, 2, 8, 9, 10, 11, 13, 15)
 218 (1, 2, 8, 9, 10, 11, 14, 15)
 218 (1, 3, 4, 5, 6, 7, 13, 14)
 218 (1, 3, 8, 9, 10, 11, 13, 14)
 218 (1, 4, 5, 7, 8, 9, 13, 15)
 218 (1, 4, 5, 7, 9, 11, 12, 13)
 218 (1, 4, 5, 8, 9, 11, 13, 15)
 218 (1, 5, 7, 8, 9, 11, 12, 13)
 218 (2, 3, 4, 5, 6, 7, 13, 14)
 218 (2, 3, 8, 9, 10, 11, 13, 14)
 218 (2, 4, 6, 7, 10, 11, 12, 14)
 218 (2, 4, 6, 7, 8, 10, 14, 15)
 218 (2, 4, 6, 8, 10, 11, 14, 15)
 218 (2, 6, 7, 8, 10, 11, 12, 14)
 218 (4, 5, 8, 11, 12, 13, 14, 15)
 218 (4, 7, 8, 9, 12, 13, 14, 15)
 218 (4, 7, 9, 11, 12, 13, 14, 15)
 218 (5, 7, 8, 11, 12, 13, 14, 15)
 220 (0, 1, 4, 5, 7, 10, 13, 15)
 220 (0, 1, 6, 8, 9, 11, 13, 15)
 220 (0, 2, 4, 6, 7, 9, 14, 15)
 220 (0, 2, 5, 8, 10, 11, 14, 15)
 220 (0, 5, 7, 10, 11, 13, 14, 15)
 220 (0, 6, 7, 9, 11, 13, 14, 15)
 220 (1, 3, 4, 5, 7, 10, 12, 13)
 220 (1, 3, 6, 8, 9, 11, 12, 13)
 220 (2, 3, 4, 6, 7, 9, 12, 14)
 220 (2, 3, 5, 8, 10, 11, 12, 14)
 221 (0, 1, 2, 3, 4, 6, 7, 10)
 221 (0, 1, 2, 4, 5, 6, 7, 12)
 221 (0, 1, 2, 8, 9, 10, 11, 12)
 221 (0, 1, 3, 4, 5, 8, 9, 13)
 221 (0, 1, 3, 4, 7, 12, 14, 15)
 221 (0, 1, 3, 5, 7, 9, 11, 13)
 221 (0, 1, 3, 7, 8, 12, 13, 15)
 221 (0, 1, 4, 5, 6, 8, 12, 13)
 221 (0, 1, 4, 8, 9, 10, 12, 13)
 221 (0, 2, 3, 4, 6, 8, 10, 14)
 221 (0, 2, 3, 4, 7, 12, 13, 15)
 221 (0, 2, 3, 6, 7, 10, 11, 14)
 221 (0, 2, 4, 5, 6, 8, 12, 14)
 221 (0, 2, 4, 8, 9, 10, 12, 14)
 221 (1, 2, 3, 4, 5, 6, 7, 15)
 221 (1, 2, 3, 8, 9, 10, 11, 15)
 221 (1, 2, 4, 5, 6, 9, 10, 11)
 221 (1, 2, 5, 6, 7, 8, 9, 10)
 221 (1, 3, 5, 6, 7, 11, 13, 15)
 221 (1, 4, 5, 6, 8, 9, 10, 14)
 221 (1, 4, 5, 8, 9, 12, 13, 15)
 221 (1, 5, 7, 9, 11, 12, 13, 15)
 221 (2, 3, 5, 6, 7, 11, 14, 15)
 221 (2, 4, 5, 6, 8, 9, 10, 13)
 221 (2, 4, 6, 8, 10, 12, 14, 15)
 221 (2, 6, 7, 10, 11, 12, 14, 15)
 221 (3, 4, 5, 6, 7, 13, 14, 15)
 221 (3, 8, 9, 10, 11, 13, 14, 15)
 221 (4, 5, 7, 9, 12, 13, 14, 15)
 221 (5, 8, 9, 11, 12, 13, 14, 15)
 223 (0, 1, 2, 3, 10, 11, 12, 14)
 223 (0, 1, 2, 3, 6, 7, 12, 14)
 223 (0, 1, 2, 4, 10, 12, 13, 14)
 223 (0, 1, 2, 4, 9, 12, 13, 14)
 223 (0, 1, 2, 5, 10, 11, 13, 15)
 223 (0, 1, 2, 5, 6, 7, 13, 14)
 223 (0, 1, 2, 5, 7, 10, 14, 15)
 223 (0, 1, 2, 5, 8, 12, 13, 14)
 223 (0, 1, 2, 6, 7, 9, 13, 15)
 223 (0, 1, 2, 6, 8, 12, 13, 14)
 223 (0, 1, 2, 6, 9, 11, 14, 15)
 223 (0, 1, 2, 9, 10, 11, 13, 14)
 223 (0, 1, 3, 4, 6, 7, 8, 11)
 223 (0, 1, 3, 4, 7, 8, 10, 11)
 223 (0, 1, 4, 6, 9, 13, 14, 15)
 223 (0, 1, 5, 8, 10, 13, 14, 15)
 223 (0, 2, 3, 4, 5, 7, 8, 11)
 223 (0, 2, 3, 4, 7, 8, 9, 11)
